ATLMEMRP,KATL,KMEM,CHOOK,KATL NASSA1 CHOOK WASER VANZE1 KMEM,ZTL,ZME,ZME ZTL,N,,2
ATLMIA9E,KATL,KMIA,EATWO,KATL EATWO IRQ CRG OMN ANNEY3 KMIA,ZTL,ZMA,ZJX ZMA ZTL,N,,1
ATLMIA9W,KATL,KMIA,WEONE,KATL WEONE MGM SZW J43 PIE CYY7 KMIA,ZTL,ZMA,ZJX ZMA ZTL,N,,1
ATLMIAAP,KATL,KMIA,SOTWO,KATL SOTWO J43 SZW J43 PIE CYY7 KMIA,ZTL,ZMA,ZJX ZMA ZTL,N,,1
ATLMIAGA,KATL,KMIA,IRQ,KATL GAIRY1 IRQ SAV OMN HILEY6 KMIA,ZTL,ZMA,ZJX ZMA ZTL,Y,,2
ATLMIAPC,KATL,KMIA,POUNC,KATL POUNC1 POUNC GRGIA SZW SSCOT3 KMIA,ZTL,ZMA,ZJX ZMA ZTL,Y,,2
ATLMIARP,KATL,KMIA,LUCKK,KATL BANNG1 LUCKK SZW SSCOT3 KMIA,ZTL,ZMA,ZJX ZMA ZTL,N,,2
ATLMIASM,KATL,KMIA,WALET,KATL SMLTZ1 WALET OTK SSCOT3 KMIA,ZTL,ZMA,ZJX ZMA ZTL,Y,,2
ATLMSP8E,KATL,KMSP,EAONE,KATL EAONE SPA HNN APE FWA GSH KAMMA KKILR2 KMSP,ZTL,ZMP,ZAU ZID ZMP ZTL,N,,1
ATLMSP9W,KATL,KMSP,WETWO,KATL WETWO GAD MEM J35 STL IOW MNOSO BLUEM2 KMSP,ZTL,ZMP,ZAU ZKC ZME ZMP ZTL,N,,1
ATLMSPAP,KATL,KMSP,NOONE,KATL NOONE J89 IIU J89 OBK KAMMA KKILR2 KMSP,ZTL,ZMP,ZAU ZID ZMP ZTL,N,,1
ATLMSPCU,KATL,KMSP,HANKO,KATL CUTTN1 HANKO MEM J35 STL IOW MNOSO BLUEM2 KMSP,ZTL,ZMP,ZAU ZKC ZME ZMP ZTL,Y,,2
ATLMSPPE,KATL,KMSP,JAACE,KATL PENCL1 JAACE BNA STL IOW MNOSO BLUEM2 KMSP,ZTL,ZMP,ZAU ZKC ZME ZMP ZTL,Y,,2
ATLMSPPL,KATL,KMSP,SPA,KATL PLMMR1 SPA HNN APE FWA GSH KAMMA KKILR2 KMSP,ZTL,ZMP,ZAU ZID ZMP ZTL,Y,,2
ATLMSPRP,KATL,KMSP,RESPE,KATL VARNM1 RESPE IIU J89 OBK KAMMA KKILR2 KMSP,ZTL,ZMP,ZAU ZID ZMP ZTL,N,,2
ATLORD8W,KATL,KORD,WETWO,KATL WETWO VUZ BNA IIU MZZ OXI OXI6 KORD,ZTL,ZAU,ZAU ZID ZME ZTL,Y,,1
ATLORD9E,KATL,KORD,EAONE,KATL EAONE SPA HMV FLM J24 BIGXX MZZ OXI OXI6 KORD,ZTL,ZAU,ZAU ZID ZTL,Y,,1
ATLORDAP,KATL,KORD,NOONE,KATL NOONE J89 IIU MZZ OXI OXI6 KORD,ZTL,ZAU,ZAU ZID ZTL,Y,,1
ATLORDCU,KATL,KORD,HANKO,KATL CUTTN1 HANKO GAD GETME J151 FAM FTZ TRTLL3 KORD,ZTL,ZAU,ZAU ZKC ZME ZTL,Y,,2
ATLORDPL,KATL,KORD,SPA,KATL PLMMR1 SPA HMV FLM J24 BIGXX MZZ VEECK2 KORD,ZTL,ZAU,ZAU ZID ZTL,Y,,2
ATLORDRP,KATL,KORD,GLAZR,KATL VARNM1 GLAZR Q118 MZZ VEECK2 KORD,ZTL,ZAU,ZAU ZID ZTL,N,,2
